9 de Espadas,@9deespadas,Música,Artista,Compositores,Formato,Ano,Origem,Gênero,Gênero Relacionado,Idioma,Classifi.,Andan.,Data Cadastro,Participações,Nome do Arquivo
A Corda em Si,@acordaemsi,,,,,,,,,,,,,,
A Resistência Nacional,@aresistencianacional,,,,,,,,,,,,,,
Abruna,@prazerabruna,,,,,,,,,,,,,,
Acústico Clazz,@acusticoclazz,,,,,,,,,,,,,,
Adolar Marin,@adolarmarin,,,,,,,,,,,,,,
Adolar Marin,@adolarmarin,,,,,,,,,,,,,,
Adri Benvenuti,@adribenvenuti,,,,,,,,,,,,,,
Ajiva,@ajivaoficial,,,,,,,,,,,,,,
AKANOÁ,@akanoa.banda,,,,,,,,,,,,,,
Alegre Corrêa,@correa_alegre,,,,,,,,,,,,,,
Alessandro Kramer,@bbkramer1,,,,,,,,,,,,,,
Alessio,@eualessio,,,,,,,,,,,,,,
Alex Tiê,@alextiearte,,,,,,,,,,,,,,
Alexandre Lunardelli,@alexlunardelli,,,,,,,,,,,,,,
Algo Errado,@algoerradoetc,,,,,,,,,,,,,,
Aline Vieira,@aline.vieira.arte,,,,,,,,,,,,,,
Allende,@allendemusic,,,,,,,,,,,,,,
Álvaro Fausane,@alvarofausane,,,,,,,,,,,,,,
Amanda & Manu,@_amandaemanu,,,,,,,,,,,,,,
Amanda Cadore,@amandacadore,,,,,,,,,,,,,,
Amanda Linhares,@amandalinharesm,,,,,,,,,,,,,,
Amandah Amâncio,@amandahamancio,,,,,,,,,,,,,,
Amarina,@amarinaeu,,,,,,,,,,,,,,
Ana Negrello,@ananegrellooficial,,,,,,,,,,,,,,
Ana Rosa,@anarosamusic,,,,,,,,,,,,,,
Ana Schurmann,@ana.schurmann,,,,,,,,,,,,,,
Ana Zechini,@annazechini,,,,,,,,,,,,,,
Anderson Jean Duarte,@anderson_jean_duarte,,,,,,,,,,,,,,
Anderson Oliveira,@cantorandersonoliveira,,,,,,,,,,,,,,
André Berté,@andre.berte,,,,,,,,,,,,,,
André Calibrina,@andre_calibrina @andrecalibrina,,,,,,,,,,,,,,
André Luiz,@souandreluiz,,,,,,,,,,,,,,
André Maia,@andremaiamusico,,,,,,,,,,,,,,
André Schuck,@andreschuck,,,,,,,,,,,,,,
André Seben,@andre.seben,,,,,,,,,,,,,,
Andréia Zanella,@aandreiazanella,,,,,,,,,,,,,,
Angela Beatriz,@angelabeatriz_canta,,,,,,,,,,,,,,
Angela Kirchner,@kirchnerangela,,,,,,,,,,,,,,
Ângelo Arruda,@arquitetoangeloarruda,,,,,,,,,,,,,,
Anis de Flor,@anisdeflor,,,,,,,,,,,,,,
Anjo Mal,@anjomaloficial,,,,,,,,,,,,,,
Antonio Rossa,@antoniorossa,,,,,,,,,,,,,,
Arele,@arelevachtchuk,,,,,,,,,,,,,,
Arele Vachtchuk,@arelevachtchuk,,,,,,,,,,,,,,
ARIAL 12,@bandaarial12,,,,,,,,,,,,,,
Arthur Mattos,@arthur_mattos__,,,,,,,,,,,,,,
Arthur Prestes,@arthurprestesss,,,,,,,,,,,,,,
Arumbeva,@arumbevaoficial,,,,,,,,,,,,,,
ATR,@_atrmusic,,,,,,,,,,,,,,
Auddiomudo,@auddiomudo,,,,,,,,,,,,,,
Ayleen,@ayleenmusic,,,,,,,,,,,,,,
Bad Chairs,@badchairs,,,,,,,,,,,,,,
Bala e Os Espetos,@balaeosespetos,,,,,,,,,,,,,,
Banana Orgânica,@bandabananaorganica,,,,,,,,,,,,,,
Banda Bom Brother,@bandabombrother,,,,,,,,,,,,,,
Bárbara Damasio,@barbara_damasio_cantora,,,,,,,,,,,,,,
Bárbara Kristensen,@barbarakristensen,,,,,,,,,,,,,,
Bê Vieira,@bevieiramusic,,,,,,,,,,,,,,
BELAVI,@belavimusic,,,,,,,,,,,,,,
Bemba,@bembasounds,,,,,,,,,,,,,,
Bernardo Flesch,@bernardoflesch,,,,,,,,,,,,,,
Beto Braun & Smokers,@betobraunn,,,,,,,,,,,,,,
Beto Rodrigues,@betorodrigues.filho,,,,,,,,,,,,,,
Bïa,@biakrieger,,,,,,,,,,,,,,
Bianca Costa,@biancacosta,,,,,,,,,,,,,,
Bizibeize,@bizibeize,,,,,,,,,,,,,,
Black Luz,@blackluznaatividade,,,,,,,,,,,,,,
Black Sheep Band,@blacksheepband_official,,,,,,,,,,,,,,
Blame,@blamerock,,,,,,,,,,,,,,
bOb Avante,@avantebob,,,,,,,,,,,,,,
BORGDROID : MECHADRONE,@borgdroid.mechadrone,,,,,,,,,,,,,,
Brasil Papaya,@brasilpapaya,,,,,,,,,,,,,,
Brass Groove Brasil,@brassgroovebrasil,,,,,,,,,,,,,,
Bruna Ferracioli,@abrunaferracioli,,,,,,,,,,,,,,
Bruna Hedler,@brunahedleroficial,,,,,,,,,,,,,,
Brunno Manfra,@manfrabrunno,,,,,,,,,,,,,,
Bryan Behr,@bryanbehroficial,,,,,,,,,,,,,,
BUENNO,@buennomusic,,,,,,,,,,,,,,
Bura,@bura_musica,,,,,,,,,,,,,,
Byghal,@byghalcantor,,,,,,,,,,,,,,
Caio Muniz,@caiomunizprodutormusical,,,,,,,,,,,,,,
Caju Hassen,@cajuhassen,,,,,,,,,,,,,,
Camargo Rodí,@camargo.rodi_viola,,,,,,,,,,,,,,
Cambirela,@cambirela_,,,,,,,,,,,,,,
Camélia Martins,@cameliamartins,,,,,,,,,,,,,,
Camerata Florianópolis,@camerataflorianopolis,,,,,,,,,,,,,,
Camila Gomes,@camilabenzedeira,,,,,,,,,,,,,,
